iter	Passed	Remaining
472	4844	5397
473	4849	5381
474	4859	5370
475	4862	5353
476	4868	5337
477	4875	5324
478	4879	5307
479	4889	5297
480	4894	5281
481	4905	5272
482	4915	5261
483	4928	5253
484	4934	5239
485	4947	5232
486	4953	5217
487	4972	5217
488	4984	5208
489	5000	5204
490	5018	5202
491	5028	5192
492	5037	5180
493	5054	5177
494	5060	5162
495	5070	5152
496	5074	5135
497	5081	5122
498	5088	5108
499	5099	5099
500	5103	5082
501	5108	5068
502	5113	5052
503	5118	5037
504	5129	5028
505	5145	5023
506	5151	5009
507	5160	4998
508	5174	4991
509	5179	4976
510	5191	4967
511	5203	4959
512	5207	4944
513	5217	4933
514	5222	4918
515	5235	4910
516	5239	4895
517	5250	4885
518	5253	4868
519	5258	4854
520	5265	4840
521	5279	4834
522	5284	4820
523	5292	4807
524	5297	4792
525	5300	4776
526	5315	4770
527	5329	4764
528	5340	4754
529	5350	4744
530	5368	4742
531	5379	4731
532	5397	4729
533	5403	4715
534	5413	4705
535	5435	4705
536	5450	4699
537	5463	4691
538	5479	4686
539	5483	4671
540	5495	4662
541	5507	4653
542	5513	4640
543	5525	4631
544	5538	4623
545	5542	4608
546	5549	4595
547	5555	4582
548	5570	4576
549	5575	4561
550	5583	4549
551	5586	4534
552	5597	4524
553	5607	4514
554	5613	4500
555	5618	4486
556	5629	4477
557	5641	4468
558	5647	4455
559	5651	4440
560	5661	4430
561	5673	4422
562	5679	4408
563	5689	4397
564	5693	4383
565	5701	4371
566	5709	4359
567	5743	4367
568	5769	4369
569	5811	4384
570	5823	4375
571	5827	4360
572	5841	4353
573	5854	4345
574	5870	4338
575	5884	4331
576	5895	4322
577	5902	4309
578	5909	4296
579	5918	4285
580	5930	4276
581	5942	4267
582	5950	4256
583	5967	4250
584	5975	4238
585	5982	4226
586	5990	4214
587	6005	4208
588	6018	4199
589	6025	4187
590	6034	4175
591	6045	4166
592	6052	4154
593	6064	4145
594	6073	4133
595	6079	4120
596	6086	4108
597	6098	4099
598	6118	4095
599	6130	4087
600	6143	4078
601	6151	4066
602	6167	4060
603	6177	4050
604	6182	4036
605	6196	4028
606	6210	4020
607	6215	4007
608	6228	3999
609	6242	3991
610	6252	3980
611	6260	3968
612	6274	3961
613	6283	3950
614	6290	3937
615	6297	3925
616	6305	3914
617	6318	3905
618	6324	3892
619	6332	3881
620	6337	3868
621	6344	3855
622	6351	3843
623	6365	3835
624	6371	3822
625	6377	3810
626	6381	3796
627	6389	3784
628	6398	3774
629	6411	3765
630	6419	3753
631	6425	3741
632	6437	3732
633	6442	3719
634	6453	3709
635	6457	3695
636	6464	3683
637	6472	3672
638	6483	3662
639	6490	3651
640	6497	3638
641	6502	3626
642	6514	3616
643	6522	3605
644	6529	3593
645	6535	3581
646	6545	3571
647	6555	3560
648	6559	3547
649	6564	3534
650	6574	3524
651	6585	3514
652	6591	3502
653	6602	3493
654	6606	3479
655	6613	3468
656	6627	3459
657	6660	3461
658	6679	3456
659	6696	3449
660	6718	3445
661	6735	3439
662	6750	3431
663	6766	3424
664	6783	3417
665	6793	3407
666	6808	3398
667	6814	3386
668	6821	3374
669	6839	3368
670	6853	3360
671	6857	3346
672	6870	3338
673	6886	3330
674	6895	3320
675	6900	3307
676	6907	3295
677	6918	3285
678	6928	3275
679	6932	3262
680	6942	3252
681	6952	3241
682	6961	3231
683	6978	3223
684	6989	3214
685	6996	3202
686	7003	3190
687	7007	3177
688	7018	3167
689	7027	3157
690	7036	3146
691	7045	3135
692	7050	3123
693	7058	3112
694	7067	3101
695	7075	3090
696	7085	3080
697	7090	3067
698	7102	3058
699	7112	3048
700	7118	3036
701	7122	3023
702	7130	3012
703	7137	3000
704	7152	2992
705	7164	2983
706	7172	2972
707	7181	2961
708	7196	2953
709	7204	2942
710	7211	2931
711	7223	2922
712	7229	2910
713	7237	2899
714	7244	2887
715	7264	2881
716	7269	2869
717	7273	2856
718	7277	2844
719	7287	2833
720	7297	2823
721	7304	2812
722	7312	2801
723	7316	2789
724	7325	2778
725	7331	2766
726	7343	2757
727	7348	2745
728	7357	2734
729	7362	2723
730	7369	2711
731	7377	2701
732	7387	2690
733	7391	2678
734	7395	2666
735	7401	2654
736	7407	2643
737	7412	2631
738	7417	2619
739	7420	2607
740	7424	2595
741	7431	2584
742	7437	2572
743	7450	2563
744	7454	2551
745	7463	2541
746	7468	2529
747	7474	2518
748	7479	2506
749	7484	2494
750	7491	2483
751	7494	2471
752	7500	2460
753	7509	2450
754	7516	2439
755	7523	2428
756	7538	2419
757	7554	2411
758	7566	2402
759	7572	2391
760	7597	2386
761	7615	2378
762	7626	2368
763	7630	2357
764	7637	2346
765	7642	2334
766	7652	2324
767	7657	2313
768	7662	2301
769	7668	2290
770	7672	2278
771	7678	2267
772	7683	2256
773	7688	2245
774	7695	2234
775	7699	2222
776	7703	2210
777	7711	2200
778	7716	2189
779	7724	2178
780	7729	2167
781	7733	2155
782	7743	2146
783	7747	2134
784	7758	2124
785	7761	2113
786	7765	2101
787	7773	2091
788	7777	2079
789	7783	2068
790	7789	2058
791	7794	2046
792	7802	2036
793	7806	2025
794	7809	2013
795	7817	2003
796	7822	1992
797	7826	1981
798	7836	1971
799	7840	1960
800	7847	1949
801	7850	1938
802	7855	1927
803	7862	1916
804	7867	1905
805	7877	1896
806	7881	1885
807	7886	1874
808	7894	1863
809	7898	1852
810	7907	1842
811	7911	1831
812	7917	1821
813	7923	1810
814	7926	1799
815	7936	1789
816	7940	1778
817	7950	1768
818	7963	1759
819	7968	1749
820	7971	1738
821	7977	1727
822	7985	1717
823	8053	1720
824	8058	1709
825	8063	1698
826	8074	1689
827	8085	1679
828	8094	1669
829	8106	1660
830	8118	1651
831	8123	1640
832	8136	1631
833	8142	1620
834	8149	1610
835	8152	1599
836	8158	1588
837	8164	1578
838	8167	1567
839	8175	1557
840	8181	1546
841	8184	1535
842	8190	1525
843	8196	1514
844	8199	1504
845	8207	1494
846	8212	1483
847	8221	1473
848	8227	1463
849	8232	1452
850	8238	1442
851	8242	1431
852	8250	1421
853	8257	1411
854	8267	1402
855	8276	1392
856	8285	1382
857	8290	1372
858	8299	1362
859	8305	1352
860	8313	1342
861	8318	1331
862	8323	1321
863	8330	1311
864	8336	1301
865	8350	1292
866	8355	1281
867	8363	1271
868	8367	1261
869	8378	1251
870	8382	1241
871	8398	1232
872	8424	1225
873	8442	1217
874	8450	1207
875	8455	1196
876	8468	1187
877	8477	1177
878	8486	1168
879	8495	1158
880	8507	1149
881	8520	1139
882	8535	1130
883	8549	1121
884	8557	1112
885	8564	1101
886	8571	1092
887	8580	1082
888	8590	1072
889	8595	1062
890	8604	1052
891	8619	1043
892	8633	1034
893	8652	1025
894	8661	1016
895	8667	1006
896	8676	996
897	8696	987
898	8725	980
899	8729	969
900	8737	960
901	8744	950
902	8751	940
903	8760	930
904	8770	920
905	8777	910
906	8787	901
907	8792	890
908	8804	881
909	8817	872
910	8825	862
911	8845	853
912	8850	843
913	8859	833
914	8865	823
915	8874	813
916	8881	803
917	8888	793
918	8895	784
919	8903	774
920	8910	764
921	8929	755
922	8936	745
923	8943	735
924	8951	725
925	8957	715
926	8970	706
927	8976	696
928	8982	686
929	8986	676
930	8994	666
931	9004	656
932	9028	648
933	9034	638
934	9044	628
935	9051	618
936	9060	609
937	9067	599
938	9076	589
939	9157	584
940	9189	576
941	9201	566
942	9209	556
943	9218	546
944	9232	537
945	9236	527
946	9246	517
947	9252	507
948	9265	497
949	9280	488
950	9294	478
951	9312	469
952	9324	459
953	9338	450
954	9352	440
955	9379	431
956	9390	421
957	9402	412
958	9410	402
959	9419	392
960	9427	382
961	9438	372
962	9444	362
963	9453	353
964	9464	343
965	9471	333
966	9482	323
967	9486	313
968	9497	303
969	9501	293
970	9517	284
971	9527	274
972	9532	264
973	9541	254
974	9552	244
975	9569	235
976	9585	225
977	9590	215
978	9602	205
979	9609	196
980	9615	186
981	9622	176
982	9631	166
983	9645	156
984	9681	147
985	9704	137
986	9709	127
987	9716	118
988	9720	108
989	9729	98
990	9733	88
991	9741	78
992	9745	68
993	9750	58
994	9758	49
995	9764	39
996	9790	29
997	9799	19
998	9813	9
999	9822	0
