iter	RMSE
909	899.0528831
910	898.8679197
911	898.3616597
912	898.3535923
913	898.0357001
914	897.603904
915	897.3425141
916	897.1839597
917	897.0314024
918	896.7107333
919	896.3069004
920	896.1142108
921	896.1084274
922	895.763965
923	895.5557301
924	895.3202972
925	895.0123682
926	894.9262875
927	894.5446339
928	894.4293574
929	893.9384648
930	893.6333213
931	893.5117478
932	893.4872207
933	893.1526443
934	892.9040767
935	892.5901604
936	892.334228
937	891.922883
938	891.7058083
939	891.1971762
940	890.8337959
941	890.5505973
942	890.1414391
943	889.8483319
944	889.4216791
945	888.9757339
946	888.6713962
947	888.2978935
948	887.9876264
949	887.8456829
950	887.5689842
951	887.4366614
952	887.2265168
953	886.8332297
954	886.2906769
955	886.0827971
956	885.911008
957	885.6178488
958	885.2997719
959	884.9939034
960	884.808853
961	884.7063444
962	884.3750324
963	884.3234072
964	883.9508925
965	883.6577454
966	883.3575218
967	883.0233341
968	882.6519663
969	882.1917414
970	881.9749574
971	881.5413624
972	881.0345567
973	880.7192652
974	880.5118971
975	880.2752498
976	880.0493442
977	879.6625761
978	879.2679301
979	878.9617996
980	878.7109946
981	878.3508633
982	877.8943165
983	877.4869338
984	877.3124543
985	877.0577399
986	876.8495993
987	876.7321577
988	876.5309277
989	876.2768571
990	876.2719046
991	876.0564001
992	875.7502794
993	875.4665136
994	875.1736202
995	874.9184918
996	874.5830332
997	874.2452086
998	873.9103776
999	873.4744349
